fecha,producto,cantidad,precio
2024-07-05,C,4,13.67
2024-07-06,E,6,32.21
2024-07-09,B,1,19.76
2024-07-09,D,3,25.19
2024-07-11,B,2,20.31
2024-07-12,D,10,24.29
2024-07-13,D,3,26.17
2024-07-15,D,3,26.23
2024-07-17,A,2,10.89
2024-07-20,A,2,9.18
2024-07-20,B,4,21.91
2024-07-22,E,1,29.59
2024-07-23,E,10,29.5
2024-07-25,B,8,18.91
2024-07-27,C,3,15.5
2024-07-28,B,2,19.13
2024-07-29,A,2,10.13
2024-07-30,E,8,31.62
2024-07-31,E,5,27.77
2024-08-02,A,1,10.3
2024-08-02,E,10,30.33
2024-08-05,D,7,24.31
2024-08-07,E,7,30.85
2024-08-09,D,2,24.95
2024-08-12,C,8,15.58
2024-08-13,E,4,27.01
2024-08-14,A,6,10.67
2024-08-17,B,1,19.47
2024-08-17,A,3,10.57
2024-08-18,A,8,9.96
2024-08-21,A,6,10.27
2024-08-21,C,7,14.97
2024-08-25,D,6,23.91
2024-08-26,D,4,25.72
2024-08-28,D,9,23.01
2024-09-03,A,10,10.88
2024-09-05,D,7,26.26
2024-09-05,A,1,9.9
2024-09-06,D,5,26.17
2024-09-06,A,4,10.72
2024-09-08,A,5,10.43
2024-09-09,A,5,10.89
2024-09-10,A,4,10.73
2024-09-10,D,4,26.99
2024-09-12,A,3,10.3
2024-09-12,A,9,9.5
2024-09-14,E,4,32.45
2024-09-16,E,6,28.46
2024-09-17,E,3,28.56
2024-09-19,C,7,14.7
2024-09-20,C,4,14.11
2024-09-24,C,3,14.63
2024-09-24,C,10,15.53
2024-09-26,C,4,16.36
2024-09-27,B,9,20.51
2024-10-01,B,10,21.34
2024-10-02,B,7,19.14
2024-10-04,E,8,28.67
2024-10-04,D,9,27.32
2024-10-05,D,3,23.21
2024-10-05,A,4,9.23
2024-10-08,D,4,27.09
2024-10-09,D,9,23.1
2024-10-09,D,7,24.24
2024-10-09,C,9,15.99
2024-10-10,A,5,9.55
2024-10-10,B,10,21.27
2024-10-10,D,4,23.14
2024-10-11,D,1,22.87
2024-10-12,E,10,28.38
2024-10-13,B,1,20.41
2024-10-15,A,6,10.82
2024-10-16,A,2,10.94
2024-10-17,D,10,23.55
2024-10-18,A,2,9.88
2024-10-18,A,2,9.62
2024-10-19,B,10,18.54
2024-10-19,C,6,15.63
2024-10-20,E,2,27.65
2024-10-20,D,1,23.72
2024-10-21,E,5,27.14
2024-10-21,D,9,26.87
2024-10-24,C,1,16.46
2024-10-25,B,7,21.17
2024-10-27,D,8,26.08
2024-10-28,C,1,13.93
2024-11-01,D,2,24.55
2024-11-01,E,8,28.83
2024-11-02,C,2,14.97
2024-11-03,D,2,25.09
2024-11-04,B,6,18.85
2024-11-04,B,7,21.72
2024-11-05,E,3,29.53
2024-11-05,D,3,24.27
2024-11-07,C,4,14.84
2024-11-10,E,8,31.43
2024-11-12,C,2,14.99
2024-11-12,B,2,19.13
2024-11-13,D,2,23.5
2024-11-15,B,6,18.71
2024-11-20,C,8,15.31
2024-11-21,E,6,32.06
2024-11-21,C,10,14.53
2024-11-24,B,10,18.83
2024-11-29,E,6,27.82
2024-11-29,B,10,18.79
2024-11-30,B,1,21.42
2024-12-03,C,7,13.51
2024-12-07,E,6,32.37
2024-12-07,E,6,27.16
2024-12-08,C,9,16.22
2024-12-09,C,7,16.38
2024-12-11,E,9,28.64
2024-12-12,C,3,15.31
2024-12-13,C,3,14.67
2024-12-14,D,3,22.9
2024-12-14,B,7,20.89
2024-12-16,C,7,14.14
2024-12-19,E,5,32.68
2024-12-21,E,3,27.63
2024-12-22,D,4,25.33
2024-12-22,A,5,10.27
2024-12-23,E,3,29.2
2024-12-25,E,8,32.97
2024-12-26,C,2,14.65
2024-12-28,D,2,23.67
2024-12-28,E,9,31.71
2024-12-28,A,4,10.86
2024-12-30,C,2,13.67
2024-12-31,A,2,9.77
2024-12-31,A,8,10.04
2024-12-31,C,4,14.64
2025-01-04,E,9,32.75
2025-01-06,A,5,10.56
2025-01-06,D,2,24.53
2025-01-07,D,6,26.92
2025-01-08,E,1,32.7
2025-01-08,E,3,29.88
2025-01-09,C,1,14.96
2025-01-12,B,2,20.67
2025-01-15,C,5,13.54
2025-01-15,A,1,10.39
2025-01-18,A,8,9.35
2025-01-24,A,10,10.11
2025-01-24,E,5,32.99
2025-01-27,D,2,26.2
2025-01-27,B,6,19.71
2025-01-29,D,4,24.6
2025-01-31,B,6,20.41
2025-01-31,E,3,31.14
